id,formattedAddress,addressLine1,addressLine2,city,state,stateFips,zipCode,county,countyFips,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,listingAgent,listingOffice,history,hoa,lotSize
"3082-Camden-Dr,-Troy,-MI-48084","3082 Camden Dr, Troy, MI 48084",3082 Camden Dr,,Troy,MI,26,48084,Oakland,125,42.546797,-83.189108,Condo,2,2.5,1910,2003.0,Active,2500,Standard,2026-02-21T00:00:00.000Z,,2023-07-14T00:00:00.000Z,2026-04-16T01:46:05.109Z,55,Realcomp,20261010873,"{'name': 'Nadia Alsaadi', 'phone': '2488244207', 'email': 'nadiahomes11@gmail.com'}","{'name': 'National Realty Centers-Northville', 'phone': '2484681444', 'email': 'craig@nationalrealtycenters.com', 'website': 'www.nationalrealtycenters.com'}","{'2026-02-21': {'event': 'Rental Listing', 'price': 2500, 'listingType': 'Standard', 'listedDate': '2026-02-21T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 55}}",,
"2845-Summers-Pl,-Troy,-MI-48084","2845 Summers Pl, Troy, MI 48084",2845 Summers Pl,,Troy,MI,26,48084,Oakland,125,42.55999,-83.172726,Townhouse,3,2.5,1665,2024.0,Active,3500,Standard,2026-03-16T00:00:00.000Z,,2025-09-22T00:00:00.000Z,2026-04-16T00:56:57.055Z,32,Realcomp,20261016831,"{'name': 'Jinwook Hwang', 'phone': '2482608088', 'email': 'danhwang@avarealestateonline.com'}","{'name': 'A.V.A. Real Estate', 'phone': '5867465164'}","{'2025-09-21': {'event': 'Rental Listing', 'price': 3500, 'listingType': 'Standard', 'listedDate': '2025-09-21T00:00:00.000Z', 'removedDate': '2025-11-26T00:00:00.000Z', 'daysOnMarket': 66}, '2026-03-16': {'event': 'Rental Listing', 'price': 3500, 'listingType': 'Standard', 'listedDate': '2026-03-16T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 32}}",{'fee': 249},
"3286-Camden-Dr,-Troy,-MI-48084","3286 Camden Dr, Troy, MI 48084",3286 Camden Dr,,Troy,MI,26,48084,Oakland,125,42.546797,-83.189108,Condo,2,2.5,1550,2004.0,Active,2500,Standard,2026-03-06T00:00:00.000Z,,2025-01-04T00:00:00.000Z,2026-04-16T00:56:57.035Z,42,Realcomp,20261009445,"{'name': 'Bianca Reed', 'phone': '5866105839', 'email': 'biancareedrealtor@gmail.com'}","{'name': 'Community Choice Realty Inc', 'phone': '2487290011', 'email': 'anthonydjon@gmail.com', 'website': 'https://www.homesforsaleinmich.com/'}","{'2025-01-03': {'event': 'Rental Listing', 'price': 2400, 'listingType': 'Standard', 'listedDate': '2025-01-03T00:00:00.000Z', 'removedDate': '2025-03-04T00:00:00.000Z', 'daysOnMarket': 60}, '2026-03-06': {'event': 'Rental Listing', 'price': 2500, 'listingType': 'Standard', 'listedDate': '2026-03-06T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 42}}",,
"3965-Westcreek-Dr,-Troy,-MI-48084","3965 Westcreek Dr, Troy, MI 48084",3965 Westcreek Dr,,Troy,MI,26,48084,Oakland,125,42.574978,-83.166809,Apartment,0,1.0,540,,Active,1550,Standard,2024-08-15T00:00:00.000Z,,2025-07-18T00:00:00.000Z,2026-04-16T00:46:46.064Z,610,,,,,"{'2024-08-15': {'event': 'Rental Listing', 'price': 1550, 'listingType': 'Standard', 'listedDate': '2024-08-15T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 610}}",,
"1965-Axtell-Dr,-Apt-4,-Troy,-MI-48084","1965 Axtell Dr, Apt 4, Troy, MI 48084",1965 Axtell Dr,Apt 4,Troy,MI,26,48084,Oakland,125,42.55088,-83.183648,Apartment,2,2.0,1034,1968.0,Active,1650,Standard,2026-04-08T00:00:00.000Z,,2026-04-08T00:00:00.000Z,2026-04-16T00:30:14.732Z,9,Realcomp,20261015128,"{'name': 'Sanchari Das', 'phone': '2489630505', 'email': 'sancharidas0@gmail.com'}","{'name': 'Brookstone Realtors Llc', 'phone': '2489630505', 'email': 'brandon@brandonmulrenin.com'}","{'2026-04-08': {'event': 'Rental Listing', 'price': 1650, 'listingType': 'Standard', 'listedDate': '2026-04-08T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 9}}",{'fee': 245},
"2751-Melcombe-Cir,-Troy,-MI-48084","2751 Melcombe Cir, Troy, MI 48084",2751 Melcombe Cir,,Troy,MI,26,48084,Oakland,125,42.55885,-83.17183,Apartment,1,1.0,875,2001.0,Active,1576,Standard,2024-10-22T00:00:00.000Z,,2019-11-06T10:55:36.573Z,2026-04-16T00:30:14.718Z,542,,,,,"{'2024-10-22': {'event': 'Rental Listing', 'price': 1576, 'listingType': 'Standard', 'listedDate': '2024-10-22T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 542}}",,
"2852-Mayfair-Dr,-Troy,-MI-48084","2852 Mayfair Dr, Troy, MI 48084",2852 Mayfair Dr,,Troy,MI,26,48084,Oakland,125,42.559205,-83.194682,Single Family,4,2.5,2345,1976.0,Active,3300,Standard,2026-04-11T00:00:00.000Z,,2024-07-09T00:00:00.000Z,2026-04-16T00:30:14.704Z,6,Realcomp,20261024137,"{'name': 'Jie Reynolds', 'phone': '2489612091', 'email': 'reynoldsjie@gmail.com', 'website': 'http://blueskyrealtyexperts.com'}","{'name': 'Bluesky Realty Experts', 'phone': '2482050181'}","{'2024-07-08': {'event': 'Rental Listing', 'price': 3200, 'listingType': 'Standard', 'listedDate': '2024-07-08T00:00:00.000Z', 'removedDate': '2024-10-17T00:00:00.000Z', 'daysOnMarket': 101}, '2024-10-26': {'event': 'Rental Listing', 'price': 3100, 'listingType': 'Standard', 'listedDate': '2024-10-26T00:00:00.000Z', 'removedDate': '2024-11-11T00:00:00.000Z', 'daysOnMarket': 16}, '2025-05-18': {'event': 'Rental Listing', 'price': 3200, 'listingType': 'Standard', 'listedDate': '2025-05-18T00:00:00.000Z', 'removedDate': '2025-06-17T00:00:00.000Z', 'daysOnMarket': 30}, '2026-04-11': {'event': 'Rental Listing', 'price': 3300, 'listingType': 'Standard', 'listedDate': '2026-04-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 6}}",,13939.0
"3248-Newbury-Pl,-Unit-11,-Troy,-MI-48084","3248 Newbury Pl, Unit 11, Troy, MI 48084",3248 Newbury Pl,Unit 11,Troy,MI,26,48084,Oakland,125,42.546422,-83.188518,Townhouse,2,2.5,1398,2001.0,Active,2300,Standard,2026-04-11T00:00:00.000Z,,2022-02-10T02:01:31.825Z,2026-04-16T00:07:01.417Z,6,Realcomp,20261024143,"{'name': 'Elisa C Y Chen', 'phone': '2488168500', 'email': 'elisachen88@gmail.com'}","{'name': 'Community Choice Realty Inc', 'phone': '2487290011', 'email': 'anthonydjon@gmail.com', 'website': 'https://www.homesforsaleinmich.com/'}","{'2026-04-11': {'event': 'Rental Listing', 'price': 2300, 'listingType': 'Standard', 'listedDate': '2026-04-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 6}}",{'fee': 365},
"3165-Alpine-Rd,-Troy,-MI-48084","3165 Alpine Rd, Troy, MI 48084",3165 Alpine Rd,,Troy,MI,26,48084,Oakland,125,42.5642,-83.176681,Single Family,3,1.5,1706,1958.0,Active,2400,Standard,2026-04-14T00:00:00.000Z,,2026-04-15T00:00:00.000Z,2026-04-16T00:07:01.388Z,3,Realcomp,20261024797,"{'name': 'Shayaan Hasnain', 'phone': '2486026266', 'email': 'shayaanhasnain@gmail.com'}","{'name': 'Golden Key Realty Group LLC', 'phone': '2484642647', 'email': 'nwhite@thinksion.com'}","{'2026-04-14': {'event': 'Rental Listing', 'price': 2400, 'listingType': 'Standard', 'listedDate': '2026-04-14T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 3}}",,36155.0
"2790-Lanergan-Dr,-Troy,-MI-48084","2790 Lanergan Dr, Troy, MI 48084",2790 Lanergan Dr,,Troy,MI,26,48084,Oakland,125,42.571029,-83.202222,Single Family,3,2.5,2072,1963.0,Active,4400,Standard,2026-04-15T00:00:00.000Z,,2024-07-31T00:00:00.000Z,2026-04-16T00:07:01.380Z,2,Realcomp,20261023741,"{'name': 'Robert  Haber', 'phone': '2485900800', 'email': 'rob@robhaber.com', 'website': 'www.robhaber.com'}","{'name': 'Keller Williams DOMAIN Birmingham', 'phone': '2485900800', 'email': 'klrw1017@kw.com'}","{'2026-04-15': {'event': 'Rental Listing', 'price': 4400, 'listingType': 'Standard', 'listedDate': '2026-04-15T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 2}}",,3310560.0
"561-Kirts-Blvd,-Troy,-MI-48084","561 Kirts Blvd, Troy, MI 48084",561 Kirts Blvd,,Troy,MI,26,48084,Oakland,125,42.555496,-83.156066,Apartment,1,1.0,850,1974.0,Active,1299,Standard,2024-04-12T00:00:00.000Z,,2019-11-06T11:00:36.453Z,2026-04-16T00:07:01.359Z,735,,,,,"{'2024-04-12': {'event': 'Rental Listing', 'price': 1299, 'listingType': 'Standard', 'listedDate': '2024-04-12T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 735}}",,
"295-Kirts-Blvd,-Troy,-MI-48084","295 Kirts Blvd, Troy, MI 48084",295 Kirts Blvd,,Troy,MI,26,48084,Oakland,125,42.555958,-83.152122,Apartment,0,1.0,623,,Active,1700,Standard,2025-08-22T00:00:00.000Z,,2025-08-24T00:00:00.000Z,2026-04-16T00:07:01.341Z,238,,,,,"{'2025-08-22': {'event': 'Rental Listing', 'price': 1700, 'listingType': 'Standard', 'listedDate': '2025-08-22T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 238}}",,
"1911-Golfview-Dr,-Troy,-MI-48084","1911 Golfview Dr, Troy, MI 48084",1911 Golfview Dr,,Troy,MI,26,48084,Oakland,125,42.55568,-83.18524,Apartment,1,1.0,850,1965.0,Active,1275,Standard,2025-01-03T00:00:00.000Z,,2019-11-06T10:55:40.465Z,2026-04-16T00:07:01.330Z,469,,,,,"{'2025-01-03': {'event': 'Rental Listing', 'price': 1275, 'listingType': 'Standard', 'listedDate': '2025-01-03T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 469}}",,
"177-Wilshire-Dr,-Apt-825,-Troy,-MI-48084","177 Wilshire Dr, Apt 825, Troy, MI 48084",177 Wilshire Dr,Apt 825,Troy,MI,26,48084,Oakland,125,42.563885,-83.163223,Apartment,1,1.0,750,,Active,3480,Standard,2026-04-15T00:00:00.000Z,,2025-03-06T00:00:00.000Z,2026-04-15T02:37:16.659Z,1,,,,,"{'2026-04-15': {'event': 'Rental Listing', 'price': 3480, 'listingType': 'Standard', 'listedDate': '2026-04-15T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 1}}",,
